county,office,,party,candidate,votes,,,
CONEJOS,State Treasurer,,,,3144,,,
COSTILLA,State Treasurer,,,,1523,,,
CROWLEY,State Treasurer,,,,1259,,,
CUSTER,State Treasurer,,,,1866,,,
DELTA,State Treasurer,,,,10771,,,
DENVER,State Treasurer,,,,145851,,,
DOLORES,State Treasurer,,,,782,,,
DOUGLAS,State Treasurer,,,,70432,,,
EAGLE,State Treasurer,,,,10764,,,
ELBERT,State Treasurer,,,,7952,,,
EL PASO,State Treasurer,,,,147216,,,
FREMONT,State Treasurer,,,,13471,,,
GARFIELD,State Treasurer,,,,13152,,,
GILPIN,State Treasurer,,,,2173,,,
GRAND,State Treasurer,,,,4762,,,
GUNNISON,State Treasurer,,,,5025,,,
HINSDALE,State Treasurer,,,,490,,,
HUERFANO,State Treasurer,,,,2682,,,
JACKSON,State Treasurer,,,,782,,,
JEFFERSON,State Treasurer,,,,181621,,,
KIOWA,State Treasurer,,,,848,,,
KIT CARSON,State Treasurer,,,,2904,,,
LAKE,State Treasurer,,,,2246,,,
LARIMER,State Treasurer,,,,88694,,,
LAS ANIMAS,State Treasurer,,,,4956,,,
LA PLATA,State Treasurer,,,,14889,,,
LINCOLN,State Treasurer,,,,1896,,,
LOGAN,State Treasurer,,,,6556,,,
MESA,State Treasurer,,,,39460,,,
MINERAL,State Treasurer,,,,396,,,
MOFFAT,State Treasurer,,,,4303,,,
MONTEZUMA,State Treasurer,,,,7589,,,
MONTROSE,State Treasurer,,,,12035,,,
MORGAN,State Treasurer,,,,7394,,,
OTERO,State Treasurer,,,,6024,,,
OURAY,State Treasurer,,,,1771,,,
PARK,State Treasurer,,,,5598,,,
PHILLIPS,State Treasurer,,,,1798,,,
PITKIN,State Treasurer,,,,5525,,,
PROWERS,State Treasurer,,,,3817,,,
PUEBLO,State Treasurer,,,,47661,,,
RIO BLANCO,State Treasurer,,,,2302,,,
RIO GRANDE,State Treasurer,,,,4439,,,
ROUTT,State Treasurer,,,,6999,,,
SAGUACHE,State Treasurer,,,,1934,,,
SAN JUAN,State Treasurer,,,,373,,,
SAN MIGUEL,State Treasurer,,,,2297,,,
SEDGWICK,State Treasurer,,,,1117,,,
SUMMIT,State Treasurer,,,,7602,,,
TELLER,State Treasurer,,,,7555,,,
WASHINGTON,State Treasurer,,,,2061,,,
WELD,State Treasurer,,,,53817,,,
YUMA,State Treasurer,,,,3696,,,
TOTALS,State Treasurer,,,,1351815,,,
ADAMS,Attorney General,,DEM,Ken Salazar,52611,,,
ALAMOSA,Attorney General,,DEM,Ken Salazar,3730,,,
ARAPAHOE,Attorney General,,DEM,Ken Salazar,84079,,,
ARCHULETA,Attorney General,,DEM,Ken Salazar,1898,,,
BACA,Attorney General,,DEM,Ken Salazar,1356,,,
BENT,Attorney General,,DEM,Ken Salazar,1357,,,
BOULDER,Attorney General,,DEM,Ken Salazar,68032,,,
BROOMFIELD,Attorney General,,DEM,Ken Salazar,7832,,,
CHAFFEE,Attorney General,,DEM,Ken Salazar,4083,,,
CHEYENNE,Attorney General,,DEM,Ken Salazar,512,,,
CLEAR CREEK,Attorney General,,DEM,Ken Salazar,2309,,,
CONEJOS,Attorney General,,DEM,Ken Salazar,2855,,,
COSTILLA,Attorney General,,DEM,Ken Salazar,1383,,,
CROWLEY,Attorney General,,DEM,Ken Salazar,798,,,
CUSTER,Attorney General,,DEM,Ken Salazar,987,,,
DELTA,Attorney General,,DEM,Ken Salazar,5584,,,
DENVER,Attorney General,,DEM,Ken Salazar,112500,,,
DOLORES,Attorney General,,DEM,Ken Salazar,512,,,
DOUGLAS,Attorney General,,DEM,Ken Salazar,31715,,,
EAGLE,Attorney General,,DEM,Ken Salazar,6326,,,
ELBERT,Attorney General,,DEM,Ken Salazar,3512,,,
EL PASO,Attorney General,,DEM,Ken Salazar,63860,,,
FREMONT,Attorney General,,DEM,Ken Salazar,7875,,,
GARFIELD,Attorney General,,DEM,Ken Salazar,7685,,,
GILPIN,Attorney General,,DEM,Ken Salazar,1322,,,
GRAND,Attorney General,,DEM,Ken Salazar,2585,,,
GUNNISON,Attorney General,,DEM,Ken Salazar,3466,,,
HINSDALE,Attorney General,,DEM,Ken Salazar,302,,,
HUERFANO,Attorney General,,DEM,Ken Salazar,2065,,,
JACKSON,Attorney General,,DEM,Ken Salazar,408,,,
JEFFERSON,Attorney General,,DEM,Ken Salazar,106808,,,
KIOWA,Attorney General,,DEM,Ken Salazar,500,,,
KIT CARSON,Attorney General,,DEM,Ken Salazar,1494,,,
LAKE,Attorney General,,DEM,Ken Salazar,1716,,,
LARIMER,Attorney General,,DEM,Ken Salazar,48930,,,
LAS ANIMAS,Attorney General,,DEM,Ken Salazar,3883,,,
LA PLATA,Attorney General,,DEM,Ken Salazar,8350,,,
LINCOLN,Attorney General,,DEM,Ken Salazar,995,,,
LOGAN,Attorney General,,DEM,Ken Salazar,3651,,,
MESA,Attorney General,,DEM,Ken Salazar,21474,,,
MINERAL,Attorney General,,DEM,Ken Salazar,318,,,
MOFFAT,Attorney General,,DEM,Ken Salazar,2254,,,
MONTEZUMA,Attorney General,,DEM,Ken Salazar,3883,,,
MONTROSE,Attorney General,,DEM,Ken Salazar,5965,,,
MORGAN,Attorney General,,DEM,Ken Salazar,4088,,,
OTERO,Attorney General,,DEM,Ken Salazar,4261,,,
OURAY,Attorney General,,DEM,Ken Salazar,953,,,
PARK,Attorney General,,DEM,Ken Salazar,2854,,,
PHILLIPS,Attorney General,,DEM,Ken Salazar,983,,,
PITKIN,Attorney General,,DEM,Ken Salazar,3827,,,
PROWERS,Attorney General,,DEM,Ken Salazar,2384,,,
PUEBLO,Attorney General,,DEM,Ken Salazar,36986,,,
RIO BLANCO,Attorney General,,DEM,Ken Salazar,1143,,,
RIO GRANDE,Attorney General,,DEM,Ken Salazar,3425,,,
ROUTT,Attorney General,,DEM,Ken Salazar,4152,,,
SAGUACHE,Attorney General,,DEM,Ken Salazar,1498,,,
SAN JUAN,Attorney General,,DEM,Ken Salazar,269,,,
SAN MIGUEL,Attorney General,,DEM,Ken Salazar,1448,,,
SEDGWICK,Attorney General,,DEM,Ken Salazar,675,,,
SUMMIT,Attorney General,,DEM,Ken Salazar,4669,,,
TELLER,Attorney General,,DEM,Ken Salazar,3417,,,
WASHINGTON,Attorney General,,DEM,Ken Salazar,988,,,
WELD,Attorney General,,DEM,Ken Salazar,29410,,,
YUMA,Attorney General,,DEM,Ken Salazar,2010,,,
TOTALS,Attorney General,,DEM,Ken Salazar,803200,,,
ADAMS,Attorney General,,REP,Marti Allbright,27380,,,
ALAMOSA,Attorney General,,REP,Marti Allbright,824,,,
ARAPAHOE,Attorney General,,REP,Marti Allbright,59692,,,
ARCHULETA,Attorney General,,REP,Marti Allbright,1841,,,
BACA,Attorney General,,REP,Marti Allbright,743,,,
BENT,Attorney General,,REP,Marti Allbright,513,,,
BOULDER,Attorney General,,REP,Marti Allbright,26825,,,
BROOMFIELD,Attorney General,,REP,Marti Allbright,5480,,,
CHAFFEE,Attorney General,,REP,Marti Allbright,2380,,,
CHEYENNE,Attorney General,,REP,Marti Allbright,523,,,
CLEAR CREEK,Attorney General,,REP,Marti Allbright,1402,,,
CONEJOS,Attorney General,,REP,Marti Allbright,411,,,
COSTILLA,Attorney General,,REP,Marti Allbright,164,,,
CROWLEY,Attorney General,,REP,Marti Allbright,480,,,
CUSTER,Attorney General,,REP,Marti Allbright,874,,,
DELTA,Attorney General,,REP,Marti Allbright,4816,,,
DENVER,Attorney General,,REP,Marti Allbright,30969,,,
DOLORES,Attorney General,,REP,Marti Allbright,283,,,
DOUGLAS,Attorney General,,REP,Marti Allbright,38755,,,
EAGLE,Attorney General,,REP,Marti Allbright,4258,,,
ELBERT,Attorney General,,REP,Marti Allbright,4144,,,
EL PASO,Attorney General,,REP,Marti Allbright,80322,,,
FREMONT,Attorney General,,REP,Marti Allbright,5422,,,
GARFIELD,Attorney General,,REP,Marti Allbright,5118,,,
GILPIN,Attorney General,,REP,Marti Allbright,691,,,
GRAND,Attorney General,,REP,Marti Allbright,2101,,,
GUNNISON,Attorney General,,REP,Marti Allbright,1388,,,
HINSDALE,Attorney General,,REP,Marti Allbright,174,,,
HUERFANO,Attorney General,,REP,Marti Allbright,642,,,
JACKSON,Attorney General,,REP,Marti Allbright,386,,,
JEFFERSON,Attorney General,,REP,Marti Allbright,72157,,,
KIOWA,Attorney General,,REP,Marti Allbright,380,,,
KIT CARSON,Attorney General,,REP,Marti Allbright,1423,,,
LAKE,Attorney General,,REP,Marti Allbright,471,,,
LARIMER,Attorney General,,REP,Marti Allbright,37339,,,
LAS ANIMAS,Attorney General,,REP,Marti Allbright,1134,,,
LA PLATA,Attorney General,,REP,Marti Allbright,5984,,,
LINCOLN,Attorney General,,REP,Marti Allbright,926,,,
LOGAN,Attorney General,,REP,Marti Allbright,2918,,,
MESA,Attorney General,,REP,Marti Allbright,17008,,,
MINERAL,Attorney General,,REP,Marti Allbright,106,,,
MOFFAT,Attorney General,,REP,Marti Allbright,2028,,,
MONTEZUMA,Attorney General,,REP,Marti Allbright,3520,,,
MONTROSE,Attorney General,,REP,Marti Allbright,5764,,,
MORGAN,Attorney General,,REP,Marti Allbright,3288,,,
OTERO,Attorney General,,REP,Marti Allbright,1790,,,
OURAY,Attorney General,,REP,Marti Allbright,794,,,
PARK,Attorney General,,REP,Marti Allbright,2454,,,
PHILLIPS,Attorney General,,REP,Marti Allbright,839,,,
PITKIN,Attorney General,,REP,Marti Allbright,1556,,,
PROWERS,Attorney General,,REP,Marti Allbright,1508,,,
PUEBLO,Attorney General,,REP,Marti Allbright,10703,,,
RIO BLANCO,Attorney General,,REP,Marti Allbright,1168,,,
RIO GRANDE,Attorney General,,REP,Marti Allbright,1044,,,
ROUTT,Attorney General,,REP,Marti Allbright,2629,,,
SAGUACHE,Attorney General,,REP,Marti Allbright,396,,,
SAN JUAN,Attorney General,,REP,Marti Allbright,95,,,
SAN MIGUEL,Attorney General,,REP,Marti Allbright,575,,,
SEDGWICK,Attorney General,,REP,Marti Allbright,463,,,
SUMMIT,Attorney General,,REP,Marti Allbright,2551,,,
TELLER,Attorney General,,REP,Marti Allbright,3943,,,
WASHINGTON,Attorney General,,REP,Marti Allbright,1065,,,
WELD,Attorney General,,REP,Marti Allbright,23537,,,
YUMA,Attorney General,,REP,Marti Allbright,1724,,,
TOTALS,Attorney General,,REP,Marti Allbright,522281,,,
ADAMS,Attorney General,,LIB,Dwight K. Harding,1643,,,
ALAMOSA,Attorney General,,LIB,Dwight K. Harding,47,,,
ARAPAHOE,Attorney General,,LIB,Dwight K. Harding,2404,,,
ARCHULETA,Attorney General,,LIB,Dwight K. Harding,71,,,
BACA,Attorney General,,LIB,Dwight K. Harding,18,,,
BENT,Attorney General,,LIB,Dwight K. Harding,34,,,
BOULDER,Attorney General,,LIB,Dwight K. Harding,2333,,,
BROOMFIELD,Attorney General,,LIB,Dwight K. Harding,263,,,
CHAFFEE,Attorney General,,LIB,Dwight K. Harding,118,,,
CHEYENNE,Attorney General,,LIB,Dwight K. Harding,14,,,
CLEAR CREEK,Attorney General,,LIB,Dwight K. Harding,131,,,
CONEJOS,Attorney General,,LIB,Dwight K. Harding,13,,,
COSTILLA,Attorney General,,LIB,Dwight K. Harding,28,,,
CROWLEY,Attorney General,,LIB,Dwight K. Harding,13,,,
CUSTER,Attorney General,,LIB,Dwight K. Harding,33,,,
DELTA,Attorney General,,LIB,Dwight K. Harding,294,,,
DENVER,Attorney General,,LIB,Dwight K. Harding,2449,,,
DOLORES,Attorney General,,LIB,Dwight K. Harding,14,,,
DOUGLAS,Attorney General,,LIB,Dwight K. Harding,950,,,
EAGLE,Attorney General,,LIB,Dwight K. Harding,183,,,
ELBERT,Attorney General,,LIB,Dwight K. Harding,128,,,
EL PASO,Attorney General,,LIB,Dwight K. Harding,3499,,,
FREMONT,Attorney General,,LIB,Dwight K. Harding,312,,,
GARFIELD,Attorney General,,LIB,Dwight K. Harding,281,,,
GILPIN,Attorney General,,LIB,Dwight K. Harding,86,,,
GRAND,Attorney General,,LIB,Dwight K. Harding,128,,,
GUNNISON,Attorney General,,LIB,Dwight K. Harding,127,,,
HINSDALE,Attorney General,,LIB,Dwight K. Harding,18,,,
HUERFANO,Attorney General,,LIB,Dwight K. Harding,46,,,
JACKSON,Attorney General,,LIB,Dwight K. Harding,13,,,
JEFFERSON,Attorney General,,LIB,Dwight K. Harding,3182,,,
KIOWA,Attorney General,,LIB,Dwight K. Harding,6,,,
KIT CARSON,Attorney General,,LIB,Dwight K. Harding,39,,,
LAKE,Attorney General,,LIB,Dwight K. Harding,66,,,
LARIMER,Attorney General,,LIB,Dwight K. Harding,1752,,,
LAS ANIMAS,Attorney General,,LIB,Dwight K. Harding,65,,,
LA PLATA,Attorney General,,LIB,Dwight K. Harding,295,,,
LINCOLN,Attorney General,,LIB,Dwight K. Harding,28,,,
LOGAN,Attorney General,,LIB,Dwight K. Harding,80,,,
MESA,Attorney General,,LIB,Dwight K. Harding,1012,,,
MINERAL,Attorney General,,LIB,Dwight K. Harding,8,,,
MOFFAT,Attorney General,,LIB,Dwight K. Harding,84,,,
MONTEZUMA,Attorney General,,LIB,Dwight K. Harding,158,,,
MONTROSE,Attorney General,,LIB,Dwight K. Harding,333,,,
MORGAN,Attorney General,,LIB,Dwight K. Harding,116,,,
OTERO,Attorney General,,LIB,Dwight K. Harding,56,,,
OURAY,Attorney General,,LIB,Dwight K. Harding,40,,,
PARK,Attorney General,,LIB,Dwight K. Harding,231,,,
PHILLIPS,Attorney General,,LIB,Dwight K. Harding,30,,,
PITKIN,Attorney General,,LIB,Dwight K. Harding,142,,,
PROWERS,Attorney General,,LIB,Dwight K. Harding,43,,,
PUEBLO,Attorney General,,LIB,Dwight K. Harding,565,,,
RIO BLANCO,Attorney General,,LIB,Dwight K. Harding,40,,,
RIO GRANDE,Attorney General,,LIB,Dwight K. Harding,48,,,
ROUTT,Attorney General,,LIB,Dwight K. Harding,155,,,
SAGUACHE,Attorney General,,LIB,Dwight K. Harding,33,,,
SAN JUAN,Attorney General,,LIB,Dwight K. Harding,23,,,
SAN MIGUEL,Attorney General,,LIB,Dwight K. Harding,147,,,
SEDGWICK,Attorney General,,LIB,Dwight K. Harding,11,,,
SUMMIT,Attorney General,,LIB,Dwight K. Harding,147,,,
TELLER,Attorney General,,LIB,Dwight K. Harding,212,,,
WASHINGTON,Attorney General,,LIB,Dwight K. Harding,40,,,
WELD,Attorney General,,LIB,Dwight K. Harding,1091,,,
YUMA,Attorney General,,LIB,Dwight K. Harding,54,,,
TOTALS,Attorney General,,LIB,Dwight K. Harding,26023,,,
ADAMS,Attorney General,,GRN,"Alison ""Sunny"" Maynard",1451,,,
ALAMOSA,Attorney General,,GRN,"Alison ""Sunny"" Maynard",60,,,
ARAPAHOE,Attorney General,,GRN,"Alison ""Sunny"" Maynard",2614,,,
ARCHULETA,Attorney General,,GRN,"Alison ""Sunny"" Maynard",73,,,
BACA,Attorney General,,GRN,"Alison ""Sunny"" Maynard",20,,,
BENT,Attorney General,,GRN,"Alison ""Sunny"" Maynard",16,,,
BOULDER,Attorney General,,GRN,"Alison ""Sunny"" Maynard",5663,,,
BROOMFIELD,Attorney General,,GRN,"Alison ""Sunny"" Maynard",344,,,
CHAFFEE,Attorney General,,GRN,"Alison ""Sunny"" Maynard",227,,,
CHEYENNE,Attorney General,,GRN,"Alison ""Sunny"" Maynard",6,,,
CLEAR CREEK,Attorney General,,GRN,"Alison ""Sunny"" Maynard",137,,,
CONEJOS,Attorney General,,GRN,"Alison ""Sunny"" Maynard",15,,,
COSTILLA,Attorney General,,GRN,"Alison ""Sunny"" Maynard",24,,,
CROWLEY,Attorney General,,GRN,"Alison ""Sunny"" Maynard",14,,,
CUSTER,Attorney General,,GRN,"Alison ""Sunny"" Maynard",33,,,
DELTA,Attorney General,,GRN,"Alison ""Sunny"" Maynard",363,,,
DENVER,Attorney General,,GRN,"Alison ""Sunny"" Maynard",4987,,,
DOLORES,Attorney General,,GRN,"Alison ""Sunny"" Maynard",25,,,
DOUGLAS,Attorney General,,GRN,"Alison ""Sunny"" Maynard",1035,,,
EAGLE,Attorney General,,GRN,"Alison ""Sunny"" Maynard",402,,,
ELBERT,Attorney General,,GRN,"Alison ""Sunny"" Maynard",107,,,
EL PASO,Attorney General,,GRN,"Alison ""Sunny"" Maynard",2621,,,
FREMONT,Attorney General,,GRN,"Alison ""Sunny"" Maynard",232,,,
GARFIELD,Attorney General,,GRN,"Alison ""Sunny"" Maynard",518,,,
GILPIN,Attorney General,,GRN,"Alison ""Sunny"" Maynard",153,,,
GRAND,Attorney General,,GRN,"Alison ""Sunny"" Maynard",119,,,
GUNNISON,Attorney General,,GRN,"Alison ""Sunny"" Maynard",293,,,
HINSDALE,Attorney General,,GRN,"Alison ""Sunny"" Maynard",31,,,
HUERFANO,Attorney General,,GRN,"Alison ""Sunny"" Maynard",52,,,
JACKSON,Attorney General,,GRN,"Alison ""Sunny"" Maynard",10,,,
JEFFERSON,Attorney General,,GRN,"Alison ""Sunny"" Maynard",4184,,,
KIOWA,Attorney General,,GRN,"Alison ""Sunny"" Maynard",4,,,
KIT CARSON,Attorney General,,GRN,"Alison ""Sunny"" Maynard",18,,,
LAKE,Attorney General,,GRN,"Alison ""Sunny"" Maynard",82,,,
LARIMER,Attorney General,,GRN,"Alison ""Sunny"" Maynard",3538,,,
LAS ANIMAS,Attorney General,,GRN,"Alison ""Sunny"" Maynard",54,,,
LA PLATA,Attorney General,,GRN,"Alison ""Sunny"" Maynard",811,,,
LINCOLN,Attorney General,,GRN,"Alison ""Sunny"" Maynard",15,,,
LOGAN,Attorney General,,GRN,"Alison ""Sunny"" Maynard",58,,,
MESA,Attorney General,,GRN,"Alison ""Sunny"" Maynard",708,,,
MINERAL,Attorney General,,GRN,"Alison ""Sunny"" Maynard",6,,,
MOFFAT,Attorney General,,GRN,"Alison ""Sunny"" Maynard",51,,,
MONTEZUMA,Attorney General,,GRN,"Alison ""Sunny"" Maynard",240,,,
MONTROSE,Attorney General,,GRN,"Alison ""Sunny"" Maynard",230,,,
MORGAN,Attorney General,,GRN,"Alison ""Sunny"" Maynard",63,,,
OTERO,Attorney General,,GRN,"Alison ""Sunny"" Maynard",45,,,
OURAY,Attorney General,,GRN,"Alison ""Sunny"" Maynard",65,,,
PARK,Attorney General,,GRN,"Alison ""Sunny"" Maynard",227,,,
PHILLIPS,Attorney General,,GRN,"Alison ""Sunny"" Maynard",12,,,
PITKIN,Attorney General,,GRN,"Alison ""Sunny"" Maynard",305,,,
PROWERS,Attorney General,,GRN,"Alison ""Sunny"" Maynard",22,,,
PUEBLO,Attorney General,,GRN,"Alison ""Sunny"" Maynard",480,,,
RIO BLANCO,Attorney General,,GRN,"Alison ""Sunny"" Maynard",26,,,
RIO GRANDE,Attorney General,,GRN,"Alison ""Sunny"" Maynard",49,,,
ROUTT,Attorney General,,GRN,"Alison ""Sunny"" Maynard",380,,,
SAGUACHE,Attorney General,,GRN,"Alison ""Sunny"" Maynard",86,,,
SAN JUAN,Attorney General,,GRN,"Alison ""Sunny"" Maynard",20,,,
SAN MIGUEL,Attorney General,,GRN,"Alison ""Sunny"" Maynard",234,,,
SEDGWICK,Attorney General,,GRN,"Alison ""Sunny"" Maynard",5,,,
SUMMIT,Attorney General,,GRN,"Alison ""Sunny"" Maynard",596,,,
TELLER,Attorney General,,GRN,"Alison ""Sunny"" Maynard",188,,,
WASHINGTON,Attorney General,,GRN,"Alison ""Sunny"" Maynard",22,,,
WELD,Attorney General,,GRN,"Alison ""Sunny"" Maynard",812,,,
YUMA,Attorney General,,GRN,"Alison ""Sunny"" Maynard",20,,,
TOTALS,Attorney General,,GRN,"Alison ""Sunny"" Maynard",35301,,,
ADAMS,Attorney General,,,,83085,,,
ALAMOSA,Attorney General,,,,4661,,,
ARAPAHOE,Attorney General,,,,148789,,,
ARCHULETA,Attorney General,,,,3883,,,
BACA,Attorney General,,,,2137,,,
BENT,Attorney General,,,,1920,,,
BOULDER,Attorney General,,,,102853,,,
BROOMFIELD,Attorney General,,,,13919,,,
CHAFFEE,Attorney General,,,,6808,,,
CHEYENNE,Attorney General,,,,1055,,,
CLEAR CREEK,Attorney General,,,,3979,,,
CONEJOS,Attorney General,,,,3294,,,
COSTILLA,Attorney General,,,,1599,,,
CROWLEY,Attorney General,,,,1305,,,
CUSTER,Attorney General,,,,1927,,,
DELTA,Attorney General,,,,11057,,,
DENVER,Attorney General,,,,150905,,,
DOLORES,Attorney General,,,,834,,,
DOUGLAS,Attorney General,,,,72455,,,
EAGLE,Attorney General,,,,11169,,,
ELBERT,Attorney General,,,,7891,,,
EL PASO,Attorney General,,,,150302,,,
FREMONT,Attorney General,,,,13841,,,
GARFIELD,Attorney General,,,,13602,,,
GILPIN,Attorney General,,,,2252,,,
GRAND,Attorney General,,,,4933,,,
GUNNISON,Attorney General,,,,5274,,,
HINSDALE,Attorney General,,,,525,,,
HUERFANO,Attorney General,,,,2805,,,
JACKSON,Attorney General,,,,817,,,
JEFFERSON,Attorney General,,,,186331,,,
KIOWA,Attorney General,,,,890,,,
KIT CARSON,Attorney General,,,,2974,,,
LAKE,Attorney General,,,,2335,,,
LARIMER,Attorney General,,,,91559,,,
LAS ANIMAS,Attorney General,,,,5136,,,
LA PLATA,Attorney General,,,,15440,,,
LINCOLN,Attorney General,,,,1964,,,
LOGAN,Attorney General,,,,6707,,,
MESA,Attorney General,,,,40202,,,
MINERAL,Attorney General,,,,438,,,
MOFFAT,Attorney General,,,,4417,,,
MONTEZUMA,Attorney General,,,,7801,,,
MONTROSE,Attorney General,,,,12292,,,
MORGAN,Attorney General,,,,7555,,,
OTERO,Attorney General,,,,6152,,,
OURAY,Attorney General,,,,1852,,,
PARK,Attorney General,,,,5766,,,
PHILLIPS,Attorney General,,,,1864,,,
PITKIN,Attorney General,,,,5830,,,
PROWERS,Attorney General,,,,3957,,,
PUEBLO,Attorney General,,,,48734,,,
RIO BLANCO,Attorney General,,,,2377,,,
RIO GRANDE,Attorney General,,,,4566,,,
ROUTT,Attorney General,,,,7316,,,
SAGUACHE,Attorney General,,,,2013,,,
SAN JUAN,Attorney General,,,,407,,,
SAN MIGUEL,Attorney General,,,,2404,,,
SEDGWICK,Attorney General,,,,1154,,,
SUMMIT,Attorney General,,,,7963,,,
TELLER,Attorney General,,,,7760,,,
WASHINGTON,Attorney General,,,,2115,,,
WELD,Attorney General,,,,54850,,,
YUMA,Attorney General,,,,3808,,,
TOTALS,Attorney General,,,,1386805,,,
CHEYENNE,State Senate,1,DEM,Mark Benner,140,,,
ELBERT,State Senate,1,DEM,Mark Benner,1845,,,
KIOWA,State Senate,1,DEM,Mark Benner,148,,,
KIT CARSON,State Senate,1,DEM,Mark Benner,351,,,
LINCOLN,State Senate,1,DEM,Mark Benner,492,,,
LOGAN,State Senate,1,DEM,Mark Benner,1710,,,
MORGAN,State Senate,1,DEM,Mark Benner,2302,,,
PHILLIPS,State Senate,1,DEM,Mark Benner,445,,,
PROWERS,State Senate,1,DEM,Mark Benner,1018,,,
SEDGWICK,State Senate,1,DEM,Mark Benner,347,,,
WASHINGTON,State Senate,1,DEM,Mark Benner,373,,,
YUMA,State Senate,1,DEM,Mark Benner,770,,,
TOTALS,State Senate,1,DEM,Mark Benner,9941,,,
CHEYENNE,State Senate,1,REP,Mark D. Hillman,897,,,
ELBERT,State Senate,1,REP,Mark D. Hillman,5376,,,
KIOWA,State Senate,1,REP,Mark D. Hillman,726,,,
KIT CARSON,State Senate,1,REP,Mark D. Hillman,2716,,,
LINCOLN,State Senate,1,REP,Mark D. Hillman,1431,,,
LOGAN,State Senate,1,REP,Mark D. Hillman,4751,,,
MORGAN,State Senate,1,REP,Mark D. Hillman,4780,,,
PHILLIPS,State Senate,1,REP,Mark D. Hillman,1288,,,
PROWERS,State Senate,1,REP,Mark D. Hillman,2830,,,
SEDGWICK,State Senate,1,REP,Mark D. Hillman,737,,,
WASHINGTON,State Senate,1,REP,Mark D. Hillman,1670,,,
YUMA,State Senate,1,REP,Mark D. Hillman,2910,,,
TOTALS,State Senate,1,REP,Mark D. Hillman,30112,,,
CHEYENNE,State Senate,1,LIB,Jayne Bass,23,,,
ELBERT,State Senate,1,LIB,Jayne Bass,261,,,
KIOWA,State Senate,1,LIB,Jayne Bass,8,,,
KIT CARSON,State Senate,1,LIB,Jayne Bass,43,,,
LINCOLN,State Senate,1,LIB,Jayne Bass,30,,,
LOGAN,State Senate,1,LIB,Jayne Bass,109,,,
MORGAN,State Senate,1,LIB,Jayne Bass,250,,,
PHILLIPS,State Senate,1,LIB,Jayne Bass,34,,,
PROWERS,State Senate,1,LIB,Jayne Bass,70,,,
SEDGWICK,State Senate,1,LIB,Jayne Bass,21,,,
WASHINGTON,State Senate,1,LIB,Jayne Bass,45,,,
YUMA,State Senate,1,LIB,Jayne Bass,62,,,
TOTALS,State Senate,1,LIB,Jayne Bass,956,,,
CHEYENNE,State Senate,1,,,1060,,,
ELBERT,State Senate,1,,,7482,,,
KIOWA,State Senate,1,,,882,,,
KIT CARSON,State Senate,1,,,3110,,,
LINCOLN,State Senate,1,,,1953,,,
LOGAN,State Senate,1,,,6570,,,
MORGAN,State Senate,1,,,7332,,,
PHILLIPS,State Senate,1,,,1767,,,
PROWERS,State Senate,1,,,3918,,,
SEDGWICK,State Senate,1,,,1105,,,
WASHINGTON,State Senate,1,,,2088,,,
YUMA,State Senate,1,,,3742,,,
TOTALS,State Senate,1,,,41009,,,
BACA,State Senate,2,REP,Ken Kester,1595,,,
BENT,State Senate,2,REP,Ken Kester,1241,,,
CROWLEY,State Senate,2,REP,Ken Kester,886,,,
CUSTER,State Senate,2,REP,Ken Kester,1318,,,
FREMONT,State Senate,2,REP,Ken Kester,8281,,,
HUERFANO,State Senate,2,REP,Ken Kester,1240,,,
LAS ANIMAS,State Senate,2,REP,Ken Kester,2178,,,
OTERO,State Senate,2,REP,Ken Kester,3816,,,
PUEBLO,State Senate,2,REP,Ken Kester,3407,,,
TOTALS,State Senate,2,REP,Ken Kester,23962,,,
BACA,State Senate,2,DEM,Daniel B. Slater,512,,,
BENT,State Senate,2,DEM,Daniel B. Slater,655,,,
CROWLEY,State Senate,2,DEM,Daniel B. Slater,379,,,
CUSTER,State Senate,2,DEM,Daniel B. Slater,520,,,
FREMONT,State Senate,2,DEM,Daniel B. Slater,5111,,,
HUERFANO,State Senate,2,DEM,Daniel B. Slater,1385,,,
LAS ANIMAS,State Senate,2,DEM,Daniel B. Slater,2635,,,
OTERO,State Senate,2,DEM,Daniel B. Slater,2233,,,
PUEBLO,State Senate,2,DEM,Daniel B. Slater,3115,,,
TOTALS,State Senate,2,DEM,Daniel B. Slater,16545,,,
BACA,State Senate,2,LIB,James G. Healey,37,,,
BENT,State Senate,2,LIB,James G. Healey,44,,,
CROWLEY,State Senate,2,LIB,James G. Healey,28,,,
CUSTER,State Senate,2,LIB,James G. Healey,62,,,
FREMONT,State Senate,2,LIB,James G. Healey,470,,,
HUERFANO,State Senate,2,LIB,James G. Healey,114,,,
LAS ANIMAS,State Senate,2,LIB,James G. Healey,278,,,
OTERO,State Senate,2,LIB,James G. Healey,77,,,
PUEBLO,State Senate,2,LIB,James G. Healey,167,,,
TOTALS,State Senate,2,LIB,James G. Healey,1277,,,
BACA,State Senate,2,,,2144,,,
BENT,State Senate,2,,,1940,,,
CROWLEY,State Senate,2,,,1293,,,
CUSTER,State Senate,2,,,1900,,,
FREMONT,State Senate,2,,,13862,,,
HUERFANO,State Senate,2,,,2739,,,
LAS ANIMAS,State Senate,2,,,5091,,,
OTERO,State Senate,2,,,6126,,,
PUEBLO,State Senate,2,,,6689,,,
